# strongs	hebrew	transliteration
0415	אֵל	<A CLASS="u">&#x05D0;&#x05B1;&#x05DC;&#x05B9;&#x05D4;&#x05B5;&#x05D9;</A> <A CLASS="u">&#x05D9;&#x05B4;&#x05E9;&#x05C2;&#x05B0;&#x05E8;&#x05B8;&#x05D0;&#x05B5;&#x05DC;</A> 'El 'elohey Yisra'el
0416	אֵל	<A CLASS="u">&#x05D1;&#x05BC;&#x05B5;&#x05D9;&#x05EA;&#x05BE;&#x05D0;&#x05B5;&#x05DC;</A> 'El Beyth-'El
0417	אֶלְגָּבִישׁ	'elgabiysh
0418	אַלְגּוּמִּים	'alguwmmiym
0419	אֶלְדָּד	'Eldad
0420	אֶלְדָּעָה	'Elda`ah
0421	אָלָה	'alah
0422	אָלָה	'alah
0423	אָלָה	'alah
0424	אֵלָה	'elah
0425	אֵלָה	'Elah
0426	אֱלָהּ	'elahh
0427	אַלָּה	'allah
0428	אֵלֶּה	'el-leh
0429	אֵלֶּה	'elleh
0430	אֱלֹהִים	'elohiym
0431	אֲלוּ	'aluw
0432	אִלּוּ	'illuw
0433	אֱלוֹהַּ	'elowahh
0434	אֱלוּל	'eluwl
0435	אֱלוּל	'Eluwl
0436	אֵלוֹן	'elown
0437	אַלּוֹן	'allown
0438	אַלּוֹן	'Allown
0439	אַלּוֹן	<A CLASS="u">&#x05D1;&#x05BC;&#x05B8;&#x05DB;&#x05D5;&#x05BC;&#x05EA;</A> 'Allown Bakuwth
0440	אֵלוֹנִי	'Elowniy
0441	אַלּוּף	'alluwph
0442	אָלוּשׁ	'Aluwsh
0443	אֶלְזָבָד	'Elzabad
0444	אלח	'alach
0445	אֶלְחָנָן	'Elchanan
0446	אֱלִיאָב	'Eliy'ab
0447	אֱלִיאֵל	'Eliy'el
0448	אֱלִיאָתָה	'Eliy'athah
0449	אֱלִידָד	'Eliydad
0450	אֶלְיָדָע	'Elyada`
0451	אַלְיָה	'alyah
0452	אֵלִיָּה	'Eliyah
0453	אֱלִיהוּ	'Eliyhuw
0454	אֶלְיְהוֹעֵינַי	'Ely@how`eynay
0455	אֶלְיַחְבָּא	'Elyachba'
0456	אֱלִיחֹרֶף	'Eliychoreph
0457	אֱלִיל	'eliyl
0458	אֱלִימֶלֶךְ	'Eliymelek
0459	אִלֵּין	'illeyn
